City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Yekaterinovka,RU,52.0508,44.3451,58.71,94,87,7.67,overcast clouds
233,Galesong,ID,-5.3166,119.3661,71.62,76,13,8.95,few clouds
234,Camacari,BR,-12.6975,-38.3242,76.77,82,85,6.71,overcast clouds
235,Mar Del Plata,AR,-38.0023,-57.5575,55.09,58,100,6.91,drizzle
236,Ravar,IR,31.2656,56.8055,89.98,11,0,3.27,clear sky
237,Sinnamary,GF,5.3833,-52.95,82.65,73,99,9.01,overcast clouds
238,Mata,PT,40.683,-7.4592,77.65,40,0,8.08,clear sky
239,Naze,JP,28.3667,129.4833,76.12,75,100,1.39,overcast clouds
240,Karlstad,SE,59.3793,13.5036,58.66,80,97,3.87,overcast clouds
241,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,14.97,scattered clouds
242,Rio Grande,BR,-32.035,-52.0986,69.91,96,58,7.38,broken clouds
243,Kavaratti,IN,10.5669,72.642,81.1,77,58,18.57,broken clouds
244,Kutum,SD,14.2,24.6667,85.48,33,63,4.09,broken clouds
245,Airai,TL,-8.9266,125.4092,51.17,84,93,1.79,overcast clouds
246,Visnes,NO,59.3556,5.2242,57.22,76,75,1.14,broken clouds
247,Havelock,US,34.8791,-76.9013,89.94,75,0,4.61,clear sky
248,Sept-Iles,CA,50.2001,-66.3821,72.12,79,75,9.22,broken clouds
249,Morristown,US,36.214,-83.2949,92.1,59,0,8.05,clear sky
250,Kysyl-Syr,RU,63.8986,122.7617,60.37,87,0,3.87,clear sky
251,Lata,PT,40.1629,-8.3327,67.84,60,0,3.56,clear sky
252,Lompoc,US,34.6391,-120.4579,84.02,78,20,14.0,few clouds
253,Zhuhai,CN,22.2769,113.5678,88.86,79,0,6.91,clear sky
254,Kaeo,NZ,-35.1,173.7833,58.32,86,100,16.93,moderate rain
255,Olinda,BR,-8.0089,-34.8553,78.53,73,40,17.27,scattered clouds
256,Diamantina,BR,-18.2494,-43.6003,70.88,40,3,8.77,clear sky
257,San Patricio,US,28.017,-97.5169,95.72,43,23,20.04,few clouds
258,Buin,CL,-33.7333,-70.75,72.43,52,26,3.62,scattered clouds
259,Marietta,US,33.9526,-84.5499,95.4,35,30,2.21,scattered clouds
